"COLLECTION_POINT";"EQPM";"CP_COL_POINT";"EC_PROD";"N";"N";"collection_point";"1:N";"ATTRIBUTE";"CP_COL_POINT_ID";
"COLLECTION_POINT";"FLOWLINE";"CP_COL_POINT";"EC_PROD";"N";"N";"collection_point";"1:N";"ATTRIBUTE";"CP_COL_POINT_ID";
"COLLECTION_POINT";"PIPELINE";"CP_COL_POINT";"EC_PROD";"N";"N";"collection_point";"1:N";"ATTRIBUTE";"CP_COL_POINT_ID";
"COLLECTION_POINT";"PRODSEPARATOR";"CP_COL_POINT";"EC_PROD";"N";"N";"collection_point";"1:N";"ATTRIBUTE";"CP_COL_POINT_ID";
"COLLECTION_POINT";"STORAGE";"CP_COL_POINT";"EC_PROD";"N";"N";"collection_point";"1:N";"ATTRIBUTE";"CP_COL_POINT_ID";
"COLLECTION_POINT";"STREAM";"CP_COL_POINT";"EC_PROD";"N";"N";"collection_point";"1:N";"ATTRIBUTE";"CP_COL_POINT_ID";
"COLLECTION_POINT";"TANK";"CP_COL_POINT";"EC_PROD";"N";"N";"collection_point";"1:N";"ATTRIBUTE";"CP_COL_POINT_ID";
"COLLECTION_POINT";"TEST_DEVICE";"CP_COL_POINT";"EC_PROD";"N";"N";"collection_point";"1:N";"ATTRIBUTE";"CP_COL_POINT_ID";
"COLLECTION_POINT";"WELL";"CP_COL_POINT";"EC_PROD";"N";"N";"collection_point";"1:N";"ATTRIBUTE";"CP_COL_POINT_ID";
"COLLECTION_POINT";"WELL_HOLE";"CP_COL_POINT";"EC_PROD";"N";"N";"collection_point";"1:N";"ATTRIBUTE";"CP_COL_POINT_ID";
"COMMERCIAL_ENTITY";"FIELD";"COMMERCIAL_ENTITY";"EC_PROD";"N";"N";"";"1:N";"ATTRIBUTE";"COMMERCIAL_ENTITY_ID";
"COMMERCIAL_ENTITY";"PERF_INTERVAL";"COMMERCIAL_ENTITY";"EC_PROD";"N";"N";"";"1:N";"ATTRIBUTE";"COMMERCIAL_ENTITY_ID";
"COMMERCIAL_ENTITY";"PROCESS_TRAIN";"COMMERCIAL_ENTITY";"EC_TRAN";"N";"N";"";"1:N";"ATTRIBUTE";"COMMERCIAL_ENTITY_ID";
"COMMERCIAL_ENTITY";"PWEL_DAY_COENT_ALLOC";"COENT";"EC_PROD";"Y";"N";"";"1:N";"COLUMN";"COMMERCIAL_ENTITY_ID";
"COMMERCIAL_ENTITY";"PWEL_DAY_COENT_DATA";"COENT";"EC_PROD";"Y";"N";"";"1:N";"COLUMN";"COMMERCIAL_ENTITY_ID";
"COMMERCIAL_ENTITY";"RESV_BLOCK_FORMATION";"COMMERCIAL_ENTITY";"EC_PROD";"N";"N";"";"1:1";"ATTRIBUTE";"COMMERCIAL_ENTITY_ID";
"COMMERCIAL_ENTITY";"STREAM";"COMMERCIAL_ENTITY";"EC_PROD";"N";"N";"";"1:N";"ATTRIBUTE";"COMMERCIAL_ENTITY_ID";
"COMMERCIAL_ENTITY";"STRM_DAY_PC_CPY_CE_REAS";"COMMERCIAL_ENTITY";"EC_PROD";"Y";"N";"";"1:N";"COLUMN";"COMMERCIAL_ENTITY_ID";
"COMMERCIAL_ENTITY";"STRM_MTH_CE_CPY_P_ALLOC";"COMMERCIAL_ENTITY";"EC_PROD";"Y";"N";"";"1:N";"COLUMN";"COMMERCIAL_ENTITY_ID";
"COMMERCIAL_ENTITY";"STRM_MTH_CE_P_CP_ALLOC";"COMMERCIAL_ENTITY";"EC_PROD";"Y";"N";"";"1:N";"COLUMN";"COMMERCIAL_ENTITY_ID";
"COMMERCIAL_ENTITY";"STRM_MTH_COENT_CPY_ALLOC";"COMMERCIAL_ENTITY";"EC_PROD";"Y";"N";"";"1:N";"COLUMN";"COMMERCIAL_ENTITY_ID";
"COMMERCIAL_ENTITY";"STRM_MTH_COENT_P_ALLOC";"COMMERCIAL_ENTITY";"EC_PROD";"Y";"N";"";"1:N";"COLUMN";"COMMERCIAL_ENTITY_ID";
"COMMERCIAL_ENTITY";"SUB_FIELD";"COMMERCIAL_ENTITY";"EC_PROD";"N";"N";"";"1:1";"ATTRIBUTE";"COMMERCIAL_ENTITY_ID";
"COMMERCIAL_ENTITY";"WELL";"COMMERCIAL_ENTITY";"EC_PROD";"N";"N";"";"1:N";"ATTRIBUTE";"COMMERCIAL_ENTITY_ID";
"COMPANY";"CAPACITY_BID";"COMPANY";"EC_TRAN";"N";"N";"";"1:N";"COLUMN";"COMPANY_ID";
"COMPANY";"CAPACITY_CNTR_AWARDED";"COMPANY";"EC_TRAN";"N";"N";"";"1:N";"COLUMN";"COMPANY_ID";
"COMPANY";"CAPACITY_REL_PREARRANGE";"COMPANY";"EC_TRAN";"N";"";"";"1:N";"COLUMN";"PRE_COMPANY_ID";
"COMPANY";"CNTR_OWNER_CUST_SETUP";"COMPANY";"EC_REVN";"Y";"";"";"1:N";"COLUMN";"CONTRACT_OWNER_ID";
"COMPANY";"CNTR_OWNER_VENDOR_SETUP";"COMPANY";"EC_REVN";"Y";"";"";"1:N";"COLUMN";"CONTRACT_OWNER_ID";
"COMPANY";"CNTR_PC_COMPANY";"COMPANY";"EC_TRAN";"Y";"N";"";"1:1";"COLUMN";"COMPANY_ID";
"COMPANY";"COMPANY_CONTACT";"COMPANY";"EC_PROD";"N";"N";"";"1:N";"COLUMN";"COMPANY_ID";
"COMPANY";"CONT_DOCUMENT";"OWNER_COMPANY";"EC_REVN";"N";"N";"";"1:N";"COLUMN";"OWNER_COMPANY_ID";
"COMPANY";"CONT_JOURNAL_SUMMARY";"COMPANY";"EC_REVN";"N";"";"";"1:N";"COLUMN";"COMPANY_ID";
"COMPANY";"CONT_JS_REPORT";"COMPANY";"EC_REVN";"N";"";"";"1:N";"COLUMN";"COMPANY_ID";
"COMPANY";"CONT_JS_REPORT_TAG_SUM";"COMPANY";"EC_REVN";"N";"";"";"1:N";"COLUMN";"COMPANY_ID";
"COMPANY";"CONTRACT";"COMPANY";"EC_TRAN";"N";"N";"";"1:N";"ATTRIBUTE";"COMPANY_ID";
"COMPANY";"CONTRACT_PARTIES";"COMPANY";"EC_TRAN";"Y";"";"";"1:N";"COLUMN";"COMPANY_ID";
"COMPANY";"CONTRACT_SHIPPER_PAIR";"DOWNSTREAM_SHIPPER";"EC_TRAN";"Y";"N";"";"1:1";"COLUMN";"COMPANY_ID";
